Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
180,San Jose Sharks,Mark Shoemaker\shoemma01,CA,D,18,,North Bay (OHL),,,,,,,,,,,,,
181,Pittsburgh Penguins,Joseph Masonius\masonjo01,US,D,19,,Connecticut (H-East),,,,,,,,,,,,,
182,Toronto Maple Leafs,Nikolai Chebykin\chebyni01,RU,LW,19,,MVD Balashikha 2 (Russia),,,,,,,,,,,,,
183,Edmonton Oilers,Vincent Desharnais\deshavi01,CA,D,20,,Providence (H-East),,,,,,,,,,,,,
184,Vancouver Canucks,Rodrigo Abols\abolsro01,LV,C,20,,Portland (WHL),,,,,,,,,,,,,
185,Columbus Blue Jackets,Calvin Thurkauf\thurkca01,CH,C,19,2020,Kelowna (WHL),3,0,0,0,0,0,,,,,,,0.0
186,Calgary Flames,Stepan Falkovsky\falkost01,BY,D,19,,Ottawa (OHL),,,,,,,,,,,,,
187,Montreal Canadiens,Arvid Henrikson\henriar01,SE,D,18,,AIK U18 (Sweden-Jr.),,,,,,,,,,,,,
188,Arizona Coyotes,Dean Stewart\stewade01,CA,D,18,,Portage (MJHL),,,,,,,,,,,,,
189,Buffalo Sabres,Austin Osmanski\osmanau01,US,D,18,,Mississauga (OHL),,,,,,,,,,,,,
190,Buffalo Sabres,Vasily Glotov\glotova01,RU,C,19,,Lvy St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,
191,Colorado Avalanche,Travis Barron\barrotr01,CA,LW,18,,Ottawa (OHL),,,,,,,,,,,,,
192,New Jersey Devils,Jeremy Davies\davieje01,CA,D,19,,Bloomington (USHL),,,,,,,,,,,,,
193,New York Islanders,Nick Pastujov\pastuni01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,,
194,Vancouver Canucks,Brett McKenzie\mckenbr02,CA,C,19,,North Bay (OHL),,,,,,,,,,,,,
195,Florida Panthers,Benjamin Finkelstein\finkebe01,US,D,18,,Kimball Union (NEPSAC),,,,,,,,,,,,,
196,Minnesota Wild,Dmitry Sokolov\sokoldm01,RU,RW,18,,Sudbury (OHL),,,,,,,,,,,,,
197,Detroit Red Wings,Mattias Elfstrom\elfstma01,SE,LW,19,,Malmo Jr. (Sweden),,,,,,,,,,,,,
198,Nashville Predators,Adam Smith\smithad01,CA,D,19,,Bowling Green (WCHA),,,,,,,,,,,,,
199,Philadelphia Flyers,David Bernhardt\bernhda02,SE,D,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,
200,New York Islanders,David Quenneville\quennda01,CA,D,18,,Medicine Hat (WHL),,,,,,,,,,,,,
201,New York Rangers,Ty Ronning\ronnity01,CA,RW,18,,Vancouver (WHL),,,,,,,,,,,,,
202,Los Angeles Kings,Jacob Friend\frienja01,CA,D,19,,Owen Sound (OHL),,,,,,,,,,,,,
203,Chicago Blackhawks,Jake Ryczek\ryczeja01,US,D,18,,Waterloo (USHL),,,,,,,,,,,,,
204,Minnesota Wild,Brayden Chizen\chizebr01,CA,D,18,,Kelowna (WHL),,,,,,,,,,,,,
205,Anaheim Ducks,Tyler Soy\soyty01,CA,C,19,,Victoria (WHL),,,,,,,,,,,,,
206,Tampa Bay Lightning,Otto Somppi\somppot01,FI,C,18,,Halifax (QMJHL),,,,,,,,,,,,,
207,Washington Capitals,Dmitriy Zaitsev\zaitsdm01,RU,D,18,,WBS Knights (NAHL),,,,,,,,,,,,,
208,Tampa Bay Lightning,Ryan Lohin\lohinry01,US,C,20,,Waterloo (USHL),,,,,,,,,,,,,
209,St. Louis Blues,Nikolaj Krag Christensen\kragcni01,DK,C/LW,18,,Rodovre (DENMARK),,,,,,,,,,,,,
210,San Jose Sharks,Joachim Blichfeld\blichjo01,DK,W,18,2020,Malmo Jr. (Sweden),3,0,0,0,-2,2,,,,,,,-0.1
211,St. Louis Blues,Filip Helt\heltfi01,CZ,LW,18,,Litvinov Jr. (Czech-Jr.),,,,,,,,,,,,,
1,Edmonton Oilers,Connor McDavid\mcdavco01,CA,C,18,2020,Erie (OHL),351,162,307,469,43,118,,,,,,,55.6
2,Buffalo Sabres,Jack Eichel\eicheja01,US,C,18,2020,Boston University (H-East),354,137,200,337,-60,136,,,,,,,37.1
3,Arizona Coyotes,Dylan Strome\stromdy01,CA,C,18,2020,Erie (OHL),164,36,69,105,-8,44,,,,,,,9.5
